1.324700998888586501e+00,2.332310487679346345e+00,9.854461528323696928e-01,-2.256800000000000125e-02,-9.740079999999999849e-01,-2.253860000000000030e-01,0.000000000000000000e+00
1.387242943954992258e+00,3.126573480598322519e+00,6.624815504638704722e-01,-2.256798026319742356e-02,-9.740071481831086286e-01,-2.253858028890914078e-01,1.579087266284199487e+00
1.446707064090760442e+00,3.918432187163494174e+00,3.428873541159749294e-01,-2.256798026319883563e-02,-9.740071481831695799e-01,-2.253858028891054799e-01,3.158174532568398973e+00
1.497026232829710146e+00,4.705743675703236484e+00,3.003735332894502674e-02,-2.256798026319742356e-02,-9.740071481831086286e-01,-2.253858028890914078e-01,4.737261798852598460e+00
1.533329411292215116e+00,5.486341567562979193e+00,-2.728374270736020901e-01,-2.256798026319319084e-02,-9.740071481829258859e-01,-2.253858028890491083e-01,6.316349065136797947e+00
1.553453039322677753e+00,6.257954855111449888e+00,-5.628935231771916570e-01,1.833254147066601739e-02,-9.853611766419828610e-01,-1.694853075950786825e-01,7.895436331420997433e+00
1.556132935711484144e+00,7.018142526619283394e+00,-8.378247276458637982e-01,5.914274684802296733e-02,-9.918606829312208717e-01,-1.127498166343988556e-01,9.474523597705196920e+00
1.538610105588078980e+00,7.764271185602779290e+00,-1.095807670133149836e+00,9.966157859612588543e-02,-9.934736464593049154e-01,-5.545884549059783286e-02,1.105361086398939641e+01
1.497215968614304948e+00,8.493631473123688380e+00,-1.335209435795019051e+00,1.396894148830705173e-01,-9.901921201745024215e-01,2.105353766136343081e-03,1.263269813027359589e+01
1.428251767639281855e+00,9.203534844742119247e+00,-1.554397238256702618e+00,1.790290527682666943e-01,-9.820322704292872018e-01,5.965918287146149829e-02,1.421178539655779538e+01
1.332730241682775096e+00,9.867650945327559597e+00,-1.745473989621050492e+00,2.174866797548291042e-01,-9.690342973590386766e-01,1.169190945549642285e-01,1.573468103808561125e+01
1.206283517917794645e+00,1.050960925855600614e+01,-1.915906997741958939e+00,2.548728286412904609e-01,-9.512622368537400064e-01,1.736029894812607943e-01,1.725757667961342534e+01
1.048483497459476999e+00,1.112740834587573779e+01,-2.068309695629434675e+00,2.910033109681257057e-01,-9.288036450972543268e-01,2.294316060616655162e-01,1.878047232114123943e+01
8.628346566396432049e-01,1.171969267974512086e+01,-2.211330708671900513e+00,3.257001244599182499e-01,-9.017691672274030790e-01,2.841298962889257096e-01,2.030336796266905353e+01
